name	ancestry	class	level	prereq
HAUGHTY OBSTINACY	human	Feat	1	
NATURAL AMBITION	human	Feat	1	
NATURAL SKILL	human	Feat	1	
UNCONVENTIONAL WEAPONRY	human	Feat	1	
ADAPTIVE ADEPT	human	Feat	5	Adapted Cantrip
CLEVER IMPROVISER	human	Feat	5	
COOPERATIVE SOUL	human	Feat	9	Cooperative Nature
INCREDIBLE IMPROVISATION	human	Feat	9	Clever Improviser
MULTITALENTED	human	Feat	9	
UNCONVENTIONAL EXPERTISE	human	Feat	13	Unconventional Weaponry
ELF ATAVISM	human	Feat	1	Half-Elf
INSPIRE IMITATION	human	Feat	5	Half-Elf
SUPERNATURAL CHARM	human	Feat	5	Half-Elf
MONSTROUS PEACEMAKER	human	Feat	1	Half-Orc
ORC FEROCITY	human	Feat	1	Half-Orc
ORC SIGHT	human	Feat	1	Half-Orc,low-light vision
ORC SUPERSTITION	human	Feat	1	Half-Orc
ORC WEAPON FAMILIARITY	human	Feat	1	Half-Orc
ORC WEAPON CARNAGE	human	Feat	5	Half-Orc,Orc Weapon Familiarity
VICTORIOUS VIGOR	human	Feat	5	Half-Orc
PERVASIVE SUPERSTITION	human	Feat	9	Half-Orc,Orc Superstition
INCREDIBLE FEROCITY	human	Feat	13	Half-Orc,Orc Ferocity
ORC WEAPON EXPERTISE	human	Feat	13	Half-Orc,Orc Weapon Familiarity
