name	level	gameclass	property
Divine Health	4	champion	selectable_feat_of
Divine Reflexes	14	champion	selectable_feat_of
Divine Wall	12	champion	selectable_feat_of
Dragonslayer Oath	2	champion	selectable_feat_of
Fiendsbane Oath	2	champion	selectable_feat_of
Greater Mercy	8	champion	selectable_feat_of
Heal Mount	8	champion	selectable_feat_of
Imposing Destrier	10	champion	selectable_feat_of
Instrument of Zeal	16	champion	selectable_feat_of
Lasting Doubt	12	champion	selectable_feat_of
Liberating Stride	12	champion	selectable_feat_of
Litany against Sloth	10	champion	selectable_feat_of
Litany against Wrath	6	champion	selectable_feat_of
Litany of Righteousness	14	champion	selectable_feat_of
Loyal Warhorse	6	champion	selectable_feat_of
Mercy	4	champion	selectable_feat_of
Quick Shield Block	8	champion	selectable_feat_of
Radiant Blade Master	20	champion	selectable_feat_of
Radiant Blade Spirit	10	champion	selectable_feat_of
Ranged Reprisal	1	champion	selectable_feat_of
Second Ally	8	champion	selectable_feat_of
Sense Evil	8	champion	selectable_feat_of
Shield Paragon	20	champion	selectable_feat_of
Shield of Grace	16	champion	selectable_feat_of
Shield of Reckoning	10	champion	selectable_feat_of
Shield Warden	6	champion	selectable_feat_of
Shining Oath	2	champion	selectable_feat_of
Smite Evil	6	champion	selectable_feat_of
Ultimate Mercy	18	champion	selectable_feat_of
Unimpeded Step	1	champion	selectable_feat_of
Vengeful Oath	2	champion	selectable_feat_of
Weight of Guilt	1	champion	selectable_feat_of
Wyrmbane Aura	14	champion	selectable_feat_of
Deity	1	cleric	feat_of
Divine Spellcasting	1	cleric	feat_of
Divine Font	1	cleric	feat_of
Doctrine	1	cleric	feat_of
Alertness cleric	5	cleric	feat_of
Resolve cleric	9	cleric	feat_of
Lightning Reflexes cleric	11	cleric	feat_of
Divine Defense	13	cleric	feat_of
Weapon Specialization cleric	13	cleric	feat_of
Miraculous Spell	19	cleric	feat_of
Advanced Domain	8	cleric	selectable_feat_of
Align Armament	8	cleric	selectable_feat_of
Avatar’s Audience	20	cleric	selectable_feat_of
Cantrip Expansion	2	cleric	selectable_feat_of
Cast Down	6	cleric	selectable_feat_of
Castigating Weapon	10	cleric	selectable_feat_of
Channel Smite	4	cleric	selectable_feat_of
Channeled Succor	8	cleric	selectable_feat_of
Command Undead	4	cleric	selectable_feat_of
Communal Healing	2	cleric	selectable_feat_of
Cremate Undead	8	cleric	selectable_feat_of
Deadly Simplicity	1	cleric	selectable_feat_of
Defensive Recovery	12	cleric	selectable_feat_of
Deity’s Protection	14	cleric	selectable_feat_of
Directed Channel	4	cleric	selectable_feat_of
Divine Weapon	6	cleric	selectable_feat_of
Domain Focus	12	cleric	selectable_feat_of
Domain Initiate	1	cleric	selectable_feat_of
Domain Wellspring	16	cleric	selectable_feat_of
Echoing Channel	18	cleric	selectable_feat_of
Emblazon Antimagic	12	cleric	selectable_feat_of
Emblazon Armament	2	cleric	selectable_feat_of
Emblazon Energy	8	cleric	selectable_feat_of
Eternal Bane	16	cleric	selectable_feat_of
Eternal Blessing	16	cleric	selectable_feat_of
Extend Armament Alignment	14	cleric	selectable_feat_of
Fast Channel	14	cleric	selectable_feat_of
Harming Hands	1	cleric	selectable_feat_of
Healing Hands	1	cleric	selectable_feat_of
Heroic Recovery	10	cleric	selectable_feat_of
Holy Castigation	1	cleric	selectable_feat_of
Improved Command Undead	10	cleric	selectable_feat_of
Improved Communal Healing	4	cleric	selectable_feat_of
Improved Swift Banishment	18	cleric	selectable_feat_of
Maker of Miracles	20	cleric	selectable_feat_of
Metamagic Channel	20	cleric	selectable_feat_of
Necrotic Infusion	4	cleric	selectable_feat_of
Reach Spell	1	cleric	selectable_feat_of
Replenishment of War	10	cleric	selectable_feat_of
Resurrectionist	16	cleric	selectable_feat_of
Sap Life	2	cleric	selectable_feat_of
Selective Energy	6	cleric	selectable_feat_of
Shared Replenishment	12	cleric	selectable_feat_of
Steady Spellcasting	6	cleric	selectable_feat_of
Swift Banishment	14	cleric	selectable_feat_of
Turn Undead	2	cleric	selectable_feat_of
Versatile Font	2	cleric	selectable_feat_of
Primal Spellcasting	1	druid	feat_of
Anathema	1	druid	feat_of
Druidic Language	1	druid	feat_of
Druidic Order	1	druid	feat_of
Shield Block	1	druid	feat_of
Wild Empathy	1	druid	feat_of
Alertness druid	3	druid	feat_of
Great Fortitude	3	druid	feat_of
Lightning Reflexes	5	druid	feat_of
Expert Spellcaster	7	druid	feat_of
Druid Weapon Expertise	11	druid	feat_of
Resolve	11	druid	feat_of
Medium Armor Expertise druid	13	druid	feat_of
Weapon Specialization druid	13	druid	feat_of
Master Spellcaster	15	druid	feat_of
Legendary Spellcaster	19	druid	feat_of
Primal Hierophant	19	druid	feat_of
Animal Companion	1	druid	selectable_feat_of
Call of the Wild	2	druid	selectable_feat_of
Dragon Shape	12	druid	selectable_feat_of
Effortless Concentration	16	druid	selectable_feat_of
Elemental Shape	10	druid	selectable_feat_of
Enhanced Familiar	2	druid	selectable_feat_of
Ferocious Shape	8	druid	selectable_feat_of
Fey Caller	8	druid	selectable_feat_of
Form Control	4	druid	selectable_feat_of
Green Empathy	6	druid	selectable_feat_of
Green Tongue	12	druid	selectable_feat_of
Healing Transformation	10	druid	selectable_feat_of
Hierophant’s Power	20	druid	selectable_feat_of
Impaling Briars	16	druid	selectable_feat_of
Incredible Companion	8	druid	selectable_feat_of
Insect Shape	6	druid	selectable_feat_of
Invoke Disaster	18	druid	selectable_feat_of
Leshy Familiar	1	druid	selectable_feat_of
Leyline Conduit	20	druid	selectable_feat_of
Mature Animal Companion	4	druid	selectable_feat_of
Monstrosity Shape	16	druid	selectable_feat_of
Order Explorer	2	druid	selectable_feat_of
Order Magic	4	druid	selectable_feat_of
Overwhelming Energy	10	druid	selectable_feat_of
Perfect Form Control	18	druid	selectable_feat_of
Plant Shape	10	druid	selectable_feat_of
Poison Resistance	2	druid	selectable_feat_of
Primal Focus	12	druid	selectable_feat_of
Primal Summons	12	druid	selectable_feat_of
Primal Wellspring	18	druid	selectable_feat_of
Reach Spell	1	druid	selectable_feat_of
Side by Side	10	druid	selectable_feat_of
Soaring Shape	8	druid	selectable_feat_of
Specialized Companion	14	druid	selectable_feat_of
Steady Spellcasting	6	druid	selectable_feat_of
Storm Born	1	druid	selectable_feat_of
Storm Retribution	6	druid	selectable_feat_of
Thousand Faces	4	druid	selectable_feat_of
Timeless Nature	14	druid	selectable_feat_of
True Shapeshifter	20	druid	selectable_feat_of
Verdant Metamorphosis	14	druid	selectable_feat_of
Widen Spell	1	druid	selectable_feat_of
Wild Shape	1	druid	selectable_feat_of
Wind Caller	8	druid	selectable_feat_of
Woodland Stride	4	druid	selectable_feat_of
Attack of Opportunity	1	fighter	feat_of
Shield Block	1	fighter	feat_of
Bravery	3	fighter	feat_of
Fighter Weapon Mastery	5	fighter	feat_of
Battlefield Surveyor	7	fighter	feat_of
Weapon Specialization	7	fighter	feat_of
Combat Flexibility	9	fighter	feat_of
Juggernaut fighter	9	fighter	feat_of
Armor Expertise	11	fighter	feat_of
Fighter Expertise	11	fighter	feat_of
Weapon Legend	13	fighter	feat_of
Evasion fighter	15	fighter	feat_of
Greater Weapon Specialization	15	fighter	feat_of
Improved Flexibility	15	fighter	feat_of
Armor Mastery	17	fighter	feat_of
Versatile Legend	19	fighter	feat_of
Advanced Weapon Training	6	fighter	selectable_feat_of
Advantageous Assault	6	fighter	selectable_feat_of
Aggressive Block	2	fighter	selectable_feat_of
Agile Grace	10	fighter	selectable_feat_of
Assisting Shot	2	fighter	selectable_feat_of
Blind-Fight	8	fighter	selectable_feat_of
Boundless Reprisals	20	fighter	selectable_feat_of
Brutal Finish	12	fighter	selectable_feat_of
Brutish Shove	2	fighter	selectable_feat_of
Certain Strike	10	fighter	selectable_feat_of
Combat Grab	2	fighter	selectable_feat_of
Combat Reflexes	10	fighter	selectable_feat_of
Debilitating Shot	10	fighter	selectable_feat_of
Desperate Finisher	14	fighter	selectable_feat_of
Determination	14	fighter	selectable_feat_of
Disarming Stance	6	fighter	selectable_feat_of
Disarming Twist	10	fighter	selectable_feat_of
Disruptive Stance	10	fighter	selectable_feat_of
Double Shot	4	fighter	selectable_feat_of
Double Slice	1	fighter	selectable_feat_of
Dual-Handed Assault	4	fighter	selectable_feat_of
Dueling Dance	12	fighter	selectable_feat_of
Dueling Parry	2	fighter	selectable_feat_of
Dueling Riposte	8	fighter	selectable_feat_of
Exacting Strike	1	fighter	selectable_feat_of
Fearsome Brute	10	fighter	selectable_feat_of
Felling Strike	8	fighter	selectable_feat_of
Flinging Shove	12	fighter	selectable_feat_of
Furious Focus	6	fighter	selectable_feat_of
Graceful Poise	16	fighter	selectable_feat_of
Guardian’s Deflection	6	fighter	selectable_feat_of
Guiding Finish	14	fighter	selectable_feat_of
Guiding Riposte	14	fighter	selectable_feat_of
Impossible Volley	18	fighter	selectable_feat_of
Improved Dueling Riposte	12	fighter	selectable_feat_of
Improved Knockdown	10	fighter	selectable_feat_of
Improved Reflexive Shield	16	fighter	selectable_feat_of
Improved Twin Riposte fighter	14	fighter	selectable_feat_of
Incredible Aim	8	fighter	selectable_feat_of
Incredible Ricochet	12	fighter	selectable_feat_of
Intimidating Strike	2	fighter	selectable_feat_of
Knockdown	4	fighter	selectable_feat_of
Lunge	2	fighter	selectable_feat_of
Lunging Stance	12	fighter	selectable_feat_of
Mirror Shield	10	fighter	selectable_feat_of
Mobile Shot Stance	8	fighter	selectable_feat_of
Multishot Stance	16	fighter	selectable_feat_of
Paragon's Guard	12	fighter	selectable_feat_of
Point-Blank Shot	1	fighter	selectable_feat_of
Positioning Assault	8	fighter	selectable_feat_of
Power Attack	1	fighter	selectable_feat_of
Powerful Shove	4	fighter	selectable_feat_of
Quick Reversal	4	fighter	selectable_feat_of
Quick Shield Block	8	fighter	selectable_feat_of
Reactive Shield	1	fighter	selectable_feat_of
Reflexive Shield	6	fighter	selectable_feat_of
Revealing Stab	6	fighter	selectable_feat_of
Savage Critical	18	fighter	selectable_feat_of
Shatter Defenses	6	fighter	selectable_feat_of
Shield Warden	6	fighter	selectable_feat_of
Shielded Stride	4	fighter	selectable_feat_of
Snagging Strike	1	fighter	selectable_feat_of
Spring Attack	12	fighter	selectable_feat_of
Stance Savant fighter	14	fighter	selectable_feat_of
Sudden Charge	1	fighter	selectable_feat_of
Sudden Leap	8	fighter	selectable_feat_of
Swipe	4	fighter	selectable_feat_of
Triple Shot	6	fighter	selectable_feat_of
Twinned Defense	16	fighter	selectable_feat_of
Twin Parry	4	fighter	selectable_feat_of
Twin Riposte	10	fighter	selectable_feat_of
Two-Weapon Flurry	14	fighter	selectable_feat_of
Weapon Supremacy	20	fighter	selectable_feat_of
Whirlwind Strike	14	fighter	selectable_feat_of
Flurry of Blows	1	monk	feat_of
Powerful Fist	1	monk	feat_of
Incredible Movement	3	monk	feat_of
Mystic Strikes	3	monk	feat_of
Alertness	5	monk	feat_of
Expert Strikes	5	monk	feat_of
Path to Perfection	7	monk	feat_of
Weapon Specialization	7	monk	feat_of
Metal Strikes	9	monk	feat_of
Monk Expertise	9	monk	feat_of
Second Path to Perfection	11	monk	feat_of
Graceful Mastery	13	monk	feat_of
Master Strikes	13	monk	feat_of
Greater Weapon Specialization	15	monk	feat_of
Third Path to Perfection	15	monk	feat_of
Adamantine Strikes	17	monk	feat_of
Graceful Legend	17	monk	feat_of
Perfected Form	19	monk	feat_of
Abundant Step	6	monk	selectable_feat_of
Arrow Snatching	8	monk	selectable_feat_of
Brawling Focus	2	monk	selectable_feat_of
Crane Flutter	6	monk	selectable_feat_of
Crane Stance	1	monk	selectable_feat_of
Crushing Grab	2	monk	selectable_feat_of
Dancing Leaf	2	monk	selectable_feat_of
Deflect Arrow	4	monk	selectable_feat_of
Diamond Fists	18	monk	selectable_feat_of
Diamond Soul	12	monk	selectable_feat_of
Disrupt Ki	12	monk	selectable_feat_of
Dragon Roar	6	monk	selectable_feat_of
Dragon Stance	1	monk	selectable_feat_of
Elemental Fist	2	monk	selectable_feat_of
Empty Body	18	monk	selectable_feat_of
Enduring Quickness	20	monk	selectable_feat_of
Enlightened Presence	16	monk	selectable_feat_of
Flurry of Maneuvers	4	monk	selectable_feat_of
Flying Kick	4	monk	selectable_feat_of
Fuse Stance	20	monk	selectable_feat_of
Guarded Movement	4	monk	selectable_feat_of
Impossible Technique	20	monk	selectable_feat_of
Improved Knockback	12	monk	selectable_feat_of
Ironblood Stance	8	monk	selectable_feat_of
Ironblood Surge	14	monk	selectable_feat_of
Ki Blast	6	monk	selectable_feat_of
Ki Rush	1	monk	selectable_feat_of
Ki Strike	1	monk	selectable_feat_of
Knockback Strike	10	monk	selectable_feat_of
Master of Many Styles	16	monk	selectable_feat_of
Meditative Focus	12	monk	selectable_feat_of
Meditative Wellspring	18	monk	selectable_feat_of
Mixed Maneuver	8	monk	selectable_feat_of
Monastic Weaponry	1	monk	selectable_feat_of
Mountain Quake	14	monk	selectable_feat_of
Mountain Stance	1	monk	selectable_feat_of
Mountain Stronghold	6	monk	selectable_feat_of
Quivering Palm	16	monk	selectable_feat_of
Shattering Strike	16	monk	selectable_feat_of
Sleeper Hold	10	monk	selectable_feat_of
Stance Savant	12	monk	selectable_feat_of
Stand Still	4	monk	selectable_feat_of
Stunning Fist	2	monk	selectable_feat_of
Swift River	18	monk	selectable_feat_of
Tangled Forest Rake	14	monk	selectable_feat_of
Tangled Forest Stance	8	monk	selectable_feat_of
Tiger Slash	6	monk	selectable_feat_of
Tiger Stance	1	monk	selectable_feat_of
Timeless Body	14	monk	selectable_feat_of
Tongue of Sun and Moon	14	monk	selectable_feat_of
Wall Run	8	monk	selectable_feat_of
Water Step	6	monk	selectable_feat_of
Whirling Throw	6	monk	selectable_feat_of
Wholeness of Body	4	monk	selectable_feat_of
Wild Winds Gust	14	monk	selectable_feat_of
Wild Winds Initiate	8	monk	selectable_feat_of
Wind Jump	10	monk	selectable_feat_of
Winding Flow	10	monk	selectable_feat_of
Wolf Drag	6	monk	selectable_feat_of
Wolf Stance	1	monk	selectable_feat_of
Hunt Prey	1	ranger	feat_of
Hunter’s Edge	1	ranger	feat_of
Iron Will	3	ranger	feat_of
Ranger Weapon Expertise	5	ranger	feat_of
Trackless Step	5	ranger	feat_of
Evasion	7	ranger	feat_of
Vigilant Senses	7	ranger	feat_of
Weapon Specialization	7	ranger	feat_of
Nature’s Edge	9	ranger	feat_of
Ranger Expertise	9	ranger	feat_of
Juggernaut	11	ranger	feat_of
Medium Armor Expertise	11	ranger	feat_of
Wild Stride	11	ranger	feat_of
Weapon Mastery	13	ranger	feat_of
Greater Weapon Specialization	15	ranger	feat_of
Improved Evasion	15	ranger	feat_of
Incredible Senses	15	ranger	feat_of
Masterful Hunter	17	ranger	feat_of
Second Skin	19	ranger	feat_of
Swift Prey	19	ranger	feat_of
Animal Companion	1	ranger	selectable_feat_of
Blind-Fight	8	ranger	selectable_feat_of
Camouflage	10	ranger	selectable_feat_of
Companion’s Cry	4	ranger	selectable_feat_of
Crossbow Ace	1	ranger	selectable_feat_of
Deadly Aim	8	ranger	selectable_feat_of
Disrupt Prey	4	ranger	selectable_feat_of
Distracting Shot	12	ranger	selectable_feat_of
Double Prey	12	ranger	selectable_feat_of
Far Shot	4	ranger	selectable_feat_of
Favored Enemy	4	ranger	selectable_feat_of
Favored Terrain	2	ranger	selectable_feat_of
Greater Distracting Shot	16	ranger	selectable_feat_of
Hazard Finder	8	ranger	selectable_feat_of
Hunted Shot	1	ranger	selectable_feat_of
Hunter’s Aim	2	ranger	selectable_feat_of
Impossible Flurry	18	ranger	selectable_feat_of
Impossible Volley	18	ranger	selectable_feat_of
Improved Twin Riposte	16	ranger	selectable_feat_of
Incredible Companion ranger	10	ranger	selectable_feat_of
Legendary Monster Hunter	16	ranger	selectable_feat_of
Legendary Shot	20	ranger	selectable_feat_of
Lightning Snares	12	ranger	selectable_feat_of
Manifold Edge	18	ranger	selectable_feat_of
Master Monster Hunter	10	ranger	selectable_feat_of
Masterful Companion	18	ranger	selectable_feat_of
Mature Animal Companion ranger	6	ranger	selectable_feat_of
Monster Hunter	1	ranger	selectable_feat_of
Monster Warden	2	ranger	selectable_feat_of
Penetrating Shot	10	ranger	selectable_feat_of
Perfect Shot	18	ranger	selectable_feat_of
Powerful Snares	8	ranger	selectable_feat_of
Quick Draw	2	ranger	selectable_feat_of
Quick Snares	6	ranger	selectable_feat_of
Running Reload	4	ranger	selectable_feat_of
Scout’s Warning	4	ranger	selectable_feat_of
Second Sting	12	ranger	selectable_feat_of
Sense the Unseen	14	ranger	selectable_feat_of
Shadow Hunter	18	ranger	selectable_feat_of
Shared Prey	14	ranger	selectable_feat_of
Side by Side ranger	12	ranger	selectable_feat_of
Skirmish Strike	6	ranger	selectable_feat_of
Snap Shot	6	ranger	selectable_feat_of
Snare Specialist	4	ranger	selectable_feat_of
Specialized Companion ranger	16	ranger	selectable_feat_of
Stealthy Companion	14	ranger	selectable_feat_of
Swift Tracker	6	ranger	selectable_feat_of
Targeting Shot	14	ranger	selectable_feat_of
Terrain Master	8	ranger	selectable_feat_of
To the Ends of the Earth	20	ranger	selectable_feat_of
Triple Threat	20	ranger	selectable_feat_of
Twin Parry	4	ranger	selectable_feat_of
Twin Riposte	10	ranger	selectable_feat_of
Twin Takedown	1	ranger	selectable_feat_of
Ubiquitous Snares	16	ranger	selectable_feat_of
Ultimate Skirmisher	20	ranger	selectable_feat_of
Warden’s Boon	8	ranger	selectable_feat_of
Warden’s Guidance	14	ranger	selectable_feat_of
Warden’s Step	10	ranger	selectable_feat_of
Wild Empathy ranger	2	ranger	selectable_feat_of
Rogue’s Racket	1	rogue	feat_of
Sneak Attack	1	rogue	feat_of
Surprise Attack	1	rogue	feat_of
Deny Advantage	3	rogue	feat_of
