name	price	bulk	hands	level	is_uncommon	comment
Specialist snare kit	55 gp	2	2	3		
Soap	2 cp		1			
Spellbook blank	1 gp	L	1			
Spyglass	20 gp	L	2			
Fine spyglass	80 gp	L	2	4		
Tack	4 gp	1				
Ten-foot pole	1 cp	1	2			
Pup Tent	8 sp	L	2			
Four-person Tent	5gp	1	2			
Pavilion Tent	40 gp	12	2	2		
Thieves’ tools	3gp	L	2			
Replacement picks	3 sp					
Infiltrator thieves' tools	50 gp	L	2	3		
Infiltrator picks	3 gp			3		
Long tool	1 gp	1	2			
Short tool	4 sp	L	2			
Torch	1 cp	L	1			
Waterskin	5 cp	L	1			
Writing set	1 gp	L	2			
Extra ink and paper	1 sp					
Scholarly journal	6 gp	L	1	3	1	
Scholarly journal compendium	30 gp	L	2	3	1	
Survey map	10 gp	L	1	3	1	
Survey map atlas	50 gp	L	2	3	1	
Lesser acid flask	3 gp	L				
Lesser alchemist's fire	3 gp	L				
Lesser bottled lightning	3 gp	L				
Lesser frost vial	3 gp	L				
Lesser tanglefoot bag	3 gp	L				
Lesser thunderstone	3 gp	L				
Lesser antidote	3 gp	L				
Lesser antiplague	3 gp	L				
Minor elixir of life	3 gp	L				
Lesser smokestick	3 gp	L				
Sunrod	3 gp	L				
Tindertwig	2 sp for 10 items					
Holy water	3 gp	L				
Unholy water	3 gp	L				
Minor healing potion	4 gp	L				
Scroll of a common 1st-level spell	4 gp	L				
Potency crystal	4 gp					
Formula	by level - 5 sp (0), 1 gp (1), 2 gp (2), 3 gp (3), 5 gp (4), 8 gp (5), 13 gp (6), 18 gp (7), 25 gp (8), 35 gp (9), 50 gp (10), 70 gp (11), 100 gp (12), 150 gp (13), 225 gp (14), 325 gp (15), 500 gp (16), 750 gp (17), 1200 gp (18), 2000 gp (19), 3500 gp (20)					Formulas for all 0-level common items from this chapter can be purchased collectively in a basic crafter's book.
Mug of ale	1 cp	L	1			
Keg of ale	2 sp	2	2			
Pot of coffee or tea	2 cp	L	1			
Bottle of wine	1 sp	L	1			
Bottle of fine wine	1 gp	L	1			
Unskilled hireling	1 sp					
Skilled hireling	5 sp					
Floor space	3 cp					
Bed	1 sp					for 1
Private room	8 sp					for 2
Extravagant suite	10 gp					for 6
Poor meal	1 cp	L	2			
Square meal	3 cp	L	2			
Fine dining	1 gp	L	2			
Stabling	2 cp for 1 day					
Toll	at least 1 cp					
Caravan	3 cp per 5 miles					
Carriage	2 sp per 5 miles					
Ferry or riverboat	4 cp per 5 miles					
Sailing ship	6 cp per 5 miles					
SPELLCASTING SERVICE	by level - 3 gp (1), 7 gp (2), 18 gp (3), 40 gp (4), 80 gp (5), 160 gp (6), 360 gp (7), 720 gp (8), 1800 gp (9)					Plus any cost required to cast the specific spell.
Subsistence Standard of Living	2 gp for month					
Comfortable Standard of Living	4 gp for month					
Fine Standard of Living	130 gp for month					
Extravagant Standard of Living	430 gp for month					
Guard dog	1 cp per day, 2 sp					
Riding dog	6 cp per day, 4 gp					
Riding horse	1 sp per day, 8 gp					
Warhorse	1  gp per day, 30 gp			2		
Pack animal	2 cp per day, 2 gp					
Riding pony	8 cp per day, 7 gp					
Warpony	8 sp per day, 24 gp			2		
